0 4 19 4 0
0 4 20 0 0
0 4 20 1 0
0 4 20 2 0
0 4 20 3 24
0 4 20 4 0
0 4 21 0 9
0 4 21 1 0
0 4 21 2 0
0 4 21 3 0
0 4 21 4 0
0 4 22 0 0
0 4 22 1 36
0 4 22 2 0
0 4 22 3 0
0 4 22 4 0
0 4 23 0 0
0 4 23 1 0
0 4 23 2 0
0 4 23 3 78
0 4 23 4 0
0 4 24 0 0
0 4 24 1 0
0 4 24 2 0
0 4 24 3 6
0 4 24 4 0
0 4 25 0 0
0 4 25 1 0
0 4 25 2 75
0 4 25 3 0
0 4 25 4 0
0 4 26 0 0
0 4 26 1 0
0 4 26 2 0
0 4 26 3 18
0 4 26 4 0
0 4 27 0 0
0 4 27 1 0
0 4 27 2 0
0 4 27 3 0
0 4 27 4 224
0 4 28 0 42
0 4 28 1 0
0 4 28 2 0
0 4 28 3 0
0 4 28 4 0
0 4 29 0 0
0 4 29 1 384
0 4 29 2 0
0 4 29 3 576
0 4 29 4 0
0 4 30 0 0
0 4 30 1 4
0 4 30 2 0
0 4 30 3 6
0 4 30 4 0
0 4 31 0 0
0 4 31 1 0
0 4 31 2 0
0 4 31 3 0
0 4 31 4 0
0 4 32 0 0
0 4 32 1 0
0 4 32 2 75
0 4 32 3 0
0 4 32 4 0
0 4 33 0 0
0 4 33 1 0
0 4 33 2 230
0 4 33 3 0
0 4 33 4 322
0 4 34 0 0
0 4 34 1 68
0 4 34 2 0
0 4 34 3 102
0 4 34 4 0
0 4 35 0 0
0 4 35 1 44
0 4 35 2 0
0 4 35 3 66
0 4 35 4 0
0 4 36 0 0
0 4 36 1 68
0 4 36 2 0
0 4 36 3 102
0 4 36 4 0
0 4 37 0 0
0 4 37 1 104
0 4 37 2 0
0 4 37 3 0
0 4 37 4 0
0 4 38 0 27
0 4 38 1 0
0 4 38 2 0
0 4 38 3 54
0 4 38 4 0
0 4 39 0 0
0 4 39 1 728
0 4 39 2 0
0 4 39 3 1092
0 4 39 4 0
0 4 40 0 0
0 4 40 1 0
0 4 40 2 0
0 4 40 3 0
0 4 40 4 0
0 4 41 0 63
0 4 41 1 0
0 4 41 2 0
0 4 41 3 0
0 4 41 4 0
0 4 42 0 93
0 4 42 1 0
0 4 42 2 0
0 4 42 3 0
0 4 42 4 0
0 4 43 0 0
0 4 43 1 0
0 4 43 2 0
0 4 43 3 0
0 4 43 4 0
0 4 44 0 0
0 4 44 1 0
0 4 44 2 100
0 4 44 3 0
0 4 44 4 140
0 4 45 0 0
0 4 45 1 0
0 4 45 2 30
0 4 45 3 0
0 4 45 4 0
0 4 46 0 0
0 4 46 1 0
0 4 46 2 0
0 4 46 3 0
0 4 46 4 0
0 4 47 0 0
0 4 47 1 76
0 4 47 2 0
0 4 47 3 114
0 4 47 4 0
0 4 48 0 0
0 4 48 1 0
0 4 48 2 0
0 4 48 3 0
0 4 48 4 0
0 4 49 0 30
0 4 49 1 0
0 4 49 2 0
0 4 49 3 0
0 4 49 4 0
0 4 50 0 0
0 4 50 1 0
0 4 50 2 0
0 4 50 3 0
0 4 50 4 0
0 4 51 0 0
0 4 51 1 64
0 4 51 2 0
0 4 51 3 96
0 4 51 4 0
0 4 52 0 96
0 4 52 1 0
0 4 52 2 160
0 4 52 3 0
0 4 52 4 0
0 4 53 0 162
0 4 53 1 0
0 4 53 2 270
0 4 53 3 0
0 4 53 4 0
0 4 54 0 0
0 4 54 1 96
0 4 54 2 0
0 4 54 3 0
0 4 54 4 0
0 4 55 0 0
0 4 55 1 0
0 4 55 2 65
0 4 55 3 0
0 4 55 4 91
0 4 56 0 0
0 4 56 1 0
0 4 56 2 0
0 4 56 3 0
0 4 56 4 63
0 4 57 0 9
0 4 57 1 0
0 4 57 2 0
0 4 57 3 0
0 4 57 4 0
0 4 58 0 0
0 4 58 1 0
0 4 58 2 0
0 4 58 3 0
0 4 58 4 14
0 4 59 0 0
0 4 59 1 4
0 4 59 2 0
0 4 59 3 0
0 4 59 4 0
0 4 60 0 0
0 4 60 1 28
0 4 60 2 0
0 4 60 3 42
0 4 60 4 0
0 4 61 0 0
0 4 61 1 12
0 4 61 2 0
0 4 61 3 0
0 4 61 4 0
0 4 62 0 0
0 4 62 1 0
0 4 62 2 5
0 4 62 3 0
0 4 62 4 0
0 4 63 0 0
0 4 63 1 0
0 4 63 2 0
0 4 63 3 0
0 4 63 4 7
0 4 64 0 0
0 4 64 1 0
0 4 64 2 0
0 4 64 3 66
0 4 64 4 0
1 0 0 0 0
1 0 0 1 0
1 0 0 2 0
1 0 0 3 0
1 0 0 4 0
1 0 1 0 0
1 0 1 1 0
1 0 1 2 0
1 0 1 3 0
1 0 1 4 0
1 0 2 0 0
1 0 2 1 0
1 0 2 2 0
1 0 2 3 0
1 0 2 4 0
1 0 3 0 0
1 0 3 1 0
1 0 3 2 0
1 0 3 3 0
1 0 3 4 0
1 0 4 0 0
1 0 4 1 0
1 0 4 2 0
1 0 4 3 0
1 0 4 4 0
1 0 5 0 0
1 0 5 1 0
1 0 5 2 0
1 0 5 3 0
1 0 5 4 0
1 0 6 0 0
1 0 6 1 0
1 0 6 2 0
1 0 6 3 0
1 0 6 4 0
1 0 7 0 0
1 0 7 1 0
1 0 7 2 0
1 0 7 3 0
1 0 7 4 0
1 0 8 0 0
1 0 8 1 0
1 0 8 2 0
1 0 8 3 0
1 0 8 4 0
1 0 9 0 0
1 0 9 1 0
1 0 9 2 0
1 0 9 3 0
1 0 9 4 0
1 0 10 0 0
1 0 10 1 0
1 0 10 2 0
1 0 10 3 0
1 0 10 4 0
1 0 11 0 0
1 0 11 1 0
1 0 11 2 0
1 0 11 3 0
1 0 11 4 0
1 0 12 0 0
1 0 12 1 0
1 0 12 2 0
1 0 12 3 0
1 0 12 4 0
1 0 13 0 0
1 0 13 1 0
1 0 13 2 0
1 0 13 3 0
1 0 13 4 0
1 0 14 0 0
1 0 14 1 0
1 0 14 2 0
1 0 14 3 0
1 0 14 4 0
1 0 15 0 0
1 0 15 1 0
1 0 15 2 0
1 0 15 3 0
1 0 15 4 0
1 0 16 0 0
1 0 16 1 0
1 0 16 2 0
1 0 16 3 0
1 0 16 4 0
1 0 17 0 0
1 0 17 1 0
1 0 17 2 0
1 0 17 3 0
1 0 17 4 0
1 0 18 0 0
1 0 18 1 0
1 0 18 2 0
1 0 18 3 0
1 0 18 4 0
1 0 19 0 0
1 0 19 1 0
1 0 19 2 0
1 0 19 3 0
1 0 19 4 0
1 0 20 0 0
1 0 20 1 0
1 0 20 2 0
1 0 20 3 0
1 0 20 4 0
1 0 21 0 0
1 0 21 1 0
1 0 21 2 0
1 0 21 3 0
1 0 21 4 0
1 0 22 0 0
1 0 22 1 0
1 0 22 2 0
1 0 22 3 0
1 0 22 4 0
1 0 23 0 0
1 0 23 1 0
1 0 23 2 0
1 0 23 3 0
1 0 23 4 0
1 0 24 0 0
1 0 24 1 0
1 0 24 2 0
1 0 24 3 0
1 0 24 4 0
1 0 25 0 0
1 0 25 1 0
1 0 25 2 0
1 0 25 3 0
1 0 25 4 0
1 0 26 0 0
1 0 26 1 0
1 0 26 2 0
1 0 26 3 0
1 0 26 4 0
1 0 27 0 0
1 0 27 1 0
1 0 27 2 0
1 0 27 3 0
1 0 27 4 0
1 0 28 0 0
1 0 28 1 0
1 0 28 2 0
1 0 28 3 0
1 0 28 4 0
1 0 29 0 0
1 0 29 1 0
1 0 29 2 0
1 0 29 3 0
1 0 29 4 0
1 0 30 0 0
1 0 30 1 0
1 0 30 2 0
1 0 30 3 0
1 0 30 4 0
1 0 31 0 0
1 0 31 1 0
1 0 31 2 0
1 0 31 3 0
1 0 31 4 0
1 0 32 0 0
1 0 32 1 0
1 0 32 2 0
1 0 32 3 0
1 0 32 4 0
1 0 33 0 0
1 0 33 1 0
1 0 33 2 0
1 0 33 3 0
1 0 33 4 0
1 0 34 0 0
1 0 34 1 0
1 0 34 2 0
1 0 34 3 0
1 0 34 4 0
1 0 35 0 0
1 0 35 1 0
1 0 35 2 0
1 0 35 3 0
1 0 35 4 0
1 0 36 0 0
1 0 36 1 0
1 0 36 2 0
1 0 36 3 0
1 0 36 4 0
1 0 37 0 0
1 0 37 1 0
1 0 37 2 0
1 0 37 3 0
1 0 37 4 0
1 0 38 0 0
1 0 38 1 0
1 0 38 2 0
1 0 38 3 0
1 0 38 4 0
1 0 39 0 0
1 0 39 1 0
1 0 39 2 0
1 0 39 3 0
1 0 39 4 0
1 0 40 0 0
1 0 40 1 0
1 0 40 2 0
1 0 40 3 0
1 0 40 4 0
1 0 41 0 0
1 0 41 1 0
1 0 41 2 0
1 0 41 3 0
1 0 41 4 0
1 0 42 0 0
1 0 42 1 0
1 0 42 2 0
1 0 42 3 0
1 0 42 4 0
1 0 43 0 0
1 0 43 1 0
1 0 43 2 0
1 0 43 3 0
1 0 43 4 0
1 0 44 0 0
1 0 44 1 0
1 0 44 2 0
1 0 44 3 0
1 0 44 4 0
1 0 45 0 0
1 0 45 1 0
1 0 45 2 0
1 0 45 3 0
1 0 45 4 0
1 0 46 0 0
1 0 46 1 0
1 0 46 2 0
1 0 46 3 0
1 0 46 4 0
1 0 47 0 0
1 0 47 1 0
1 0 47 2 0
1 0 47 3 0
1 0 47 4 0
1 0 48 0 0
1 0 48 1 0
1 0 48 2 0
1 0 48 3 0
1 0 48 4 0
1 0 49 0 0
1 0 49 1 0
1 0 49 2 0
1 0 49 3 0
1 0 49 4 0
1 0 50 0 0
1 0 50 1 0
1 0 50 2 0
1 0 50 3 0
1 0 50 4 0
1 0 51 0 0
1 0 51 1 0
1 0 51 2 0
1 0 51 3 0
1 0 51 4 0
1 0 52 0 0
1 0 52 1 0
1 0 52 2 0
1 0 52 3 0
1 0 52 4 0
1 0 53 0 0
1 0 53 1 0
1 0 53 2 0
1 0 53 3 0
1 0 53 4 0
1 0 54 0 0
1 0 54 1 0
1 0 54 2 0
1 0 54 3 0
1 0 54 4 0
1 0 55 0 0
1 0 55 1 0
1 0 55 2 0
1 0 55 3 0
1 0 55 4 0
1 0 56 0 0
1 0 56 1 0
1 0 56 2 0
1 0 56 3 0
1 0 56 4 0
1 0 57 0 0
1 0 57 1 0
1 0 57 2 0
1 0 57 3 0
1 0 57 4 0
1 0 58 0 0
1 0 58 1 0
1 0 58 2 0
1 0 58 3 0
1 0 58 4 0
1 0 59 0 0
1 0 59 1 0
1 0 59 2 0
1 0 59 3 0
1 0 59 4 0
1 0 60 0 0
1 0 60 1 0
1 0 60 2 0
1 0 60 3 0
1 0 60 4 0
1 0 61 0 0
1 0 61 1 0
1 0 61 2 0
1 0 61 3 0
1 0 61 4 0
1 0 62 0 0
1 0 62 1 0
1 0 62 2 0
1 0 62 3 0
1 0 62 4 0
1 0 63 0 0
1 0 63 1 0
1 0 63 2 0
1 0 63 3 0
1 0 63 4 0
1 0 64 0 0
1 0 64 1 0
1 0 64 2 0
1 0 64 3 0
1 0 64 4 0
1 1 0 0 0
1 1 0 1 0
1 1 0 2 0
1 1 0 3 0
1 1 0 4 0
1 1 1 0 0
1 1 1 1 0
1 1 1 2 0
1 1 1 3 0
1 1 1 4 0
1 1 2 0 0
1 1 2 1 0
1 1 2 2 0
1 1 2 3 0
1 1 2 4 0
1 1 3 0 0
1 1 3 1 0
1 1 3 2 0
1 1 3 3 0
1 1 3 4 0
1 1 4 0 0
1 1 4 1 0
1 1 4 2 0
1 1 4 3 0
1 1 4 4 0
1 1 5 0 0
1 1 5 1 0
1 1 5 2 0
1 1 5 3 0
1 1 5 4 0
1 1 6 0 0
1 1 6 1 0
1 1 6 2 0
1 1 6 3 0
1 1 6 4 0
1 1 7 0 0
1 1 7 1 0
1 1 7 2 0
1 1 7 3 0
1 1 7 4 0
1 1 8 0 0
1 1 8 1 0
1 1 8 2 0
1 1 8 3 0
1 1 8 4 0
1 1 9 0 0
1 1 9 1 0
1 1 9 2 0
1 1 9 3 0
1 1 9 4 0
1 1 10 0 0
1 1 10 1 0
1 1 10 2 0
1 1 10 3 0
1 1 10 4 0
1 1 11 0 0
1 1 11 1 0
1 1 11 2 0
1 1 11 3 0
1 1 11 4 0
1 1 12 0 0
1 1 12 1 0
1 1 12 2 0
1 1 12 3 0
1 1 12 4 0
1 1 13 0 0
1 1 13 1 0
1 1 13 2 0
1 1 13 3 0
1 1 13 4 0
1 1 14 0 0
1 1 14 1 0
1 1 14 2 0
1 1 14 3 0
1 1 14 4 0
1 1 15 0 0
1 1 15 1 0
1 1 15 2 0
1 1 15 3 0
1 1 15 4 0
1 1 16 0 0
1 1 16 1 0
1 1 16 2 0
1 1 16 3 0
1 1 16 4 0
1 1 17 0 0
1 1 17 1 0
1 1 17 2 0
1 1 17 3 0
1 1 17 4 0
1 1 18 0 0
1 1 18 1 0
1 1 18 2 0
1 1 18 3 0
1 1 18 4 0
1 1 19 0 0
1 1 19 1 0
1 1 19 2 0
1 1 19 3 0
1 1 19 4 0
1 1 20 0 0
1 1 20 1 0
1 1 20 2 0
1 1 20 3 0
1 1 20 4 0
1 1 21 0 0
1 1 21 1 0
1 1 21 2 0
1 1 21 3 0
1 1 21 4 0
1 1 22 0 0
1 1 22 1 0
1 1 22 2 0
1 1 22 3 0
1 1 22 4 0
1 1 23 0 0
1 1 23 1 0
1 1 23 2 0
1 1 23 3 0
1 1 23 4 0
1 1 24 0 0
1 1 24 1 0
1 1 24 2 0
1 1 24 3 0
1 1 24 4 0
1 1 25 0 0
1 1 25 1 0
1 1 25 2 0
1 1 25 3 0
1 1 25 4 0
1 1 26 0 0
1 1 26 1 0
1 1 26 2 0
1 1 26 3 0
1 1 26 4 0
1 1 27 0 0
1 1 27 1 0
1 1 27 2 0
1 1 27 3 0
1 1 27 4 0
1 1 28 0 0
1 1 28 1 0
1 1 28 2 0
1 1 28 3 0
1 1 28 4 0
1 1 29 0 0
1 1 29 1 0
1 1 29 2 0
1 1 29 3 0
1 1 29 4 0
1 1 30 0 0
1 1 30 1 0
1 1 30 2 0
1 1 30 3 0
1 1 30 4 0
1 1 31 0 0
1 1 31 1 0
1 1 31 2 0
1 1 31 3 0
1 1 31 4 0
1 1 32 0 0
1 1 32 1 0
1 1 32 2 0
1 1 32 3 0
1 1 32 4 0
1 1 33 0 0
1 1 33 1 0
1 1 33 2 0
1 1 33 3 0
1 1 33 4 0
1 1 34 0 0
1 1 34 1 0
1 1 34 2 0
1 1 34 3 0
1 1 34 4 0
1 1 35 0 0
1 1 35 1 0
1 1 35 2 0
1 1 35 3 0
1 1 35 4 0
1 1 36 0 0
1 1 36 1 0
1 1 36 2 0
1 1 36 3 0
1 1 36 4 0
1 1 37 0 0
1 1 37 1 0
1 1 37 2 0
1 1 37 3 0
1 1 37 4 0
1 1 38 0 0
1 1 38 1 0
1 1 38 2 0
1 1 38 3 0
1 1 38 4 0
1 1 39 0 0
1 1 39 1 0
1 1 39 2 0
1 1 39 3 0
1 1 39 4 0
1 1 40 0 0
1 1 40 1 0
1 1 40 2 0
1 1 40 3 0
1 1 40 4 0
1 1 41 0 0
1 1 41 1 0
1 1 41 2 0
1 1 41 3 0
1 1 41 4 0
1 1 42 0 0
1 1 42 1 0
1 1 42 2 0
1 1 42 3 0
1 1 42 4 0
1 1 43 0 0
1 1 43 1 0
1 1 43 2 0
1 1 43 3 0
1 1 43 4 0
1 1 44 0 0
1 1 44 1 0
1 1 44 2 0
1 1 44 3 0
1 1 44 4 0
1 1 45 0 0
1 1 45 1 0
1 1 45 2 0
1 1 45 3 0
1 1 45 4 0
1 1 46 0 0
1 1 46 1 0
1 1 46 2 0
1 1 46 3 0
1 1 46 4 0
1 1 47 0 0
1 1 47 1 0
1 1 47 2 0
1 1 47 3 0
1 1 47 4 0
1 1 48 0 0
1 1 48 1 0
1 1 48 2 0
1 1 48 3 0
1 1 48 4 0
1 1 49 0 0
1 1 49 1 0
1 1 49 2 0
1 1 49 3 0
1 1 49 4 0
1 1 50 0 0
1 1 50 1 0
1 1 50 2 0
1 1 50 3 0
1 1 50 4 0
1 1 51 0 0
1 1 51 1 0
1 1 51 2 0
1 1 51 3 0
1 1 51 4 0
1 1 52 0 0
1 1 52 1 0
1 1 52 2 0
1 1 52 3 0
1 1 52 4 0
1 1 53 0 0
1 1 53 1 0
1 1 53 2 0
1 1 53 3 0
1 1 53 4 0
1 1 54 0 0
1 1 54 1 0
1 1 54 2 0
1 1 54 3 0
1 1 54 4 0
1 1 55 0 0
1 1 55 1 0
1 1 55 2 0
1 1 55 3 0
1 1 55 4 0
1 1 56 0 0
1 1 56 1 0
1 1 56 2 0
1 1 56 3 0
1 1 56 4 0
1 1 57 0 0
1 1 57 1 0
1 1 57 2 0
1 1 57 3 0
1 1 57 4 0
1 1 58 0 0
1 1 58 1 0
1 1 58 2 0
1 1 58 3 0
1 1 58 4 0
1 1 59 0 0
1 1 59 1 0
1 1 59 2 0
1 1 59 3 0
1 1 59 4 0
1 1 60 0 0
1 1 60 1 0
1 1 60 2 0
1 1 60 3 0
1 1 60 4 0
1 1 61 0 0
1 1 61 1 0
1 1 61 2 0
1 1 61 3 0
1 1 61 4 0
1 1 62 0 0
1 1 62 1 0
1 1 62 2 0
1 1 62 3 0
1 1 62 4 0
1 1 63 0 0
1 1 63 1 0
1 1 63 2 0
1 1 63 3 0
1 1 63 4 0
1 1 64 0 0
1 1 64 1 0
1 1 64 2 0
1 1 64 3 0
1 1 64 4 0
1 2 0 0 0
1 2 0 1 0
1 2 0 2 0
1 2 0 3 0
1 2 0 4 12
1 2 1 0 0
1 2 1 1 0
1 2 1 2 0
1 2 1 3 0
1 2 1 4 0
1 2 2 0 0
1 2 2 1 0
1 2 2 2 0
1 2 2 3 0
1 2 2 4 2
1 2 3 0 0
1 2 3 1 18
1 2 3 2 0
1 2 3 3 0
1 2 3 4 0
1 2 4 0 5
1 2 4 1 0
1 2 4 2 0
1 2 4 3 0
1 2 4 4 0
1 2 5 0 0
1 2 5 1 0
1 2 5 2 0
1 2 5 3 0
1 2 5 4 0
1 2 6 0 15
1 2 6 1 0
1 2 6 2 0
1 2 6 3 0
1 2 6 4 0
1 2 7 0 0
1 2 7 1 0
1 2 7 2 0
1 2 7 3 0
1 2 7 4 0
1 2 8 0 0
1 2 8 1 0
1 2 8 2 0
1 2 8 3 0
1 2 8 4 0
1 2 9 0 0
1 2 9 1 12
1 2 9 2 0
1 2 9 3 2
1 2 9 4 0
1 2 10 0 0
1 2 10 1 0
1 2 10 2 0
1 2 10 3 0
1 2 10 4 0
1 2 11 0 15
1 2 11 1 0
1 2 11 2 21
1 2 11 3 0
1 2 11 4 0
1 2 12 0 0
1 2 12 1 0
1 2 12 2 0
1 2 12 3 0
1 2 12 4 0
1 2 13 0 0
1 2 13 1 0
1 2 13 2 0
1 2 13 3 0
1 2 13 4 0
1 2 14 0 0
1 2 14 1 84
1 2 14 2 98
1 2 14 3 14
1 2 14 4 28
1 2 15 0 0
1 2 15 1 0
1 2 15 2 0
1 2 15 3 0
1 2 15 4 0
1 2 16 0 0
1 2 16 1 0
1 2 16 2 0
1 2 16 3 0
1 2 16 4 0
1 2 17 0 0
1 2 17 1 0
1 2 17 2 0
1 2 17 3 0
1 2 17 4 2
1 2 18 0 0
1 2 18 1 0
1 2 18 2 14
1 2 18 3 0
1 2 18 4 0
1 2 19 0 0
1 2 19 1 0
1 2 19 2 0
1 2 19 3 0
1 2 19 4 0
1 2 20 0 0
1 2 20 1 0
1 2 20 2 0
1 2 20 3 1
1 2 20 4 0
1 2 21 0 0
1 2 21 1 0
1 2 21 2 0
1 2 21 3 0
1 2 21 4 0
1 2 22 0 0
1 2 22 1 6
1 2 22 2 0
1 2 22 3 0
1 2 22 4 0
1 2 23 0 0
1 2 23 1 0
1 2 23 2 0
1 2 23 3 2
1 2 23 4 0
1 2 24 0 0
1 2 24 1 0
1 2 24 2 0
1 2 24 3 0
1 2 24 4 0
1 2 25 0 0
1 2 25 1 0
1 2 25 2 28
1 2 25 3 0
1 2 25 4 0
1 2 26 0 0
1 2 26 1 0
1 2 26 2 0
1 2 26 3 1
1 2 26 4 0
1 2 27 0 0
1 2 27 1 0
1 2 27 2 0
1 2 27 3 0
1 2 27 4 6
1 2 28 0 10
1 2 28 1 0
1 2 28 2 0
1 2 28 3 0
1 2 28 4 0
1 2 29 0 0
1 2 29 1 48
1 2 29 2 0
1 2 29 3 8
1 2 29 4 0
1 2 30 0 0
1 2 30 1 0
1 2 30 2 0
1 2 30 3 0
1 2 30 4 0
1 2 31 0 0
1 2 31 1 0
1 2 31 2 7
1 2 31 3 0
1 2 31 4 0
1 2 32 0 0
1 2 32 1 0
1 2 32 2 0
1 2 32 3 0
1 2 32 4 0
1 2 33 0 0
1 2 33 1 0
1 2 33 2 21
1 2 33 3 0
1 2 33 4 6
1 2 34 0 0
1 2 34 1 12
1 2 34 2 0
1 2 34 3 2
1 2 34 4 0
1 2 35 0 0
1 2 35 1 6
1 2 35 2 0
1 2 35 3 1
1 2 35 4 0
1 2 36 0 0
1 2 36 1 12
1 2 36 2 0
1 2 36 3 2
1 2 36 4 0
1 2 37 0 0
1 2 37 1 12
1 2 37 2 0
1 2 37 3 0
1 2 37 4 0
1 2 38 0 5
1 2 38 1 0
1 2 38 2 0
1 2 38 3 1
1 2 38 4 0
1 2 39 0 0
1 2 39 1 30
1 2 39 2 0
1 2 39 3 5
1 2 39 4 0
1 2 40 0 0
1 2 40 1 0
1 2 40 2 0
1 2 40 3 0
1 2 40 4 0
1 2 41 0 10
1 2 41 1 0
1 2 41 2 0
1 2 41 3 0
1 2 41 4 0
1 2 42 0 20
1 2 42 1 0
1 2 42 2 0
1 2 42 3 0
1 2 42 4 0
1 2 43 0 0
1 2 43 1 0
1 2 43 2 0
1 2 43 3 0
1 2 43 4 0
1 2 44 0 0
1 2 44 1 0
1 2 44 2 7
1 2 44 3 0
1 2 44 4 2
1 2 45 0 0
1 2 45 1 0
1 2 45 2 0
1 2 45 3 0
1 2 45 4 0
1 2 46 0 0
1 2 46 1 0
1 2 46 2 0
1 2 46 3 0
1 2 46 4 0
1 2 47 0 0
1 2 47 1 12
1 2 47 2 0
1 2 47 3 2
1 2 47 4 0
1 2 48 0 0
1 2 48 1 0
1 2 48 2 0
1 2 48 3 0
1 2 48 4 0
1 2 49 0 5
1 2 49 1 0
1 2 49 2 0
1 2 49 3 0
1 2 49 4 0
1 2 50 0 0
1 2 50 1 0
1 2 50 2 0
1 2 50 3 0
1 2 50 4 0
1 2 51 0 0
1 2 51 1 6
1 2 51 2 0
1 2 51 3 1
1 2 51 4 0
1 2 52 0 10
1 2 52 1 0
1 2 52 2 14
1 2 52 3 0
1 2 52 4 0
1 2 53 0 30
1 2 53 1 0
1 2 53 2 42
1 2 53 3 0
1 2 53 4 0
1 2 54 0 0
1 2 54 1 0
1 2 54 2 0
1 2 54 3 0
1 2 54 4 0
1 2 55 0 0
1 2 55 1 0
1 2 55 2 7
1 2 55 3 0
1 2 55 4 2
1 2 56 0 0
1 2 56 1 0
1 2 56 2 0
1 2 56 3 0
1 2 56 4 2
1 2 57 0 0
1 2 57 1 0
1 2 57 2 0
1 2 57 3 0
1 2 57 4 0
1 2 58 0 0
1 2 58 1 0
1 2 58 2 0
1 2 58 3 0
1 2 58 4 6
1 2 59 0 0
1 2 59 1 0
1 2 59 2 0
1 2 59 3 0
1 2 59 4 0
1 2 60 0 0
1 2 60 1 6
1 2 60 2 0
1 2 60 3 1
1 2 60 4 0
1 2 61 0 0
1 2 61 1 0
1 2 61 2 0
1 2 61 3 0
1 2 61 4 0
1 2 62 0 0
1 2 62 1 0
1 2 62 2 0
1 2 62 3 0
1 2 62 4 0
1 2 63 0 0
1 2 63 1 0
1 2 63 2 0
1 2 63 3 0
1 2 63 4 0
1 2 64 0 0
1 2 64 1 0
1 2 64 2 0
1 2 64 3 2
1 2 64 4 0
1 3 0 0 0
1 3 0 1 0
1 3 0 2 0
1 3 0 3 0
1 3 0 4 0
1 3 1 0 0
1 3 1 1 0
1 3 1 2 0
1 3 1 3 0
1 3 1 4 0
1 3 2 0 0
1 3 2 1 0
1 3 2 2 0
1 3 2 3 0
1 3 2 4 0
1 3 3 0 0
1 3 3 1 0
1 3 3 2 0
1 3 3 3 0
1 3 3 4 0
1 3 4 0 0
1 3 4 1 0
1 3 4 2 0
1 3 4 3 0
1 3 4 4 0
1 3 5 0 0
1 3 5 1 0
1 3 5 2 0
1 3 5 3 0
1 3 5 4 0
1 3 6 0 0
1 3 6 1 0
1 3 6 2 0
1 3 6 3 0
1 3 6 4 0
1 3 7 0 0
1 3 7 1 0
1 3 7 2 0
1 3 7 3 0
1 3 7 4 0
1 3 8 0 0
1 3 8 1 0
1 3 8 2 0
1 3 8 3 0
1 3 8 4 0
1 3 9 0 0
1 3 9 1 0
1 3 9 2 0
1 3 9 3 0
1 3 9 4 0
1 3 10 0 0
1 3 10 1 0
1 3 10 2 0
1 3 10 3 0
1 3 10 4 0
1 3 11 0 0
1 3 11 1 0
1 3 11 2 0
1 3 11 3 0
1 3 11 4 0
1 3 12 0 0
1 3 12 1 0
1 3 12 2 0
1 3 12 3 0
1 3 12 4 0
1 3 13 0 0
1 3 13 1 0
1 3 13 2 0
1 3 13 3 0
1 3 13 4 0
1 3 14 0 0
1 3 14 1 0
1 3 14 2 0
1 3 14 3 0
1 3 14 4 0
1 3 15 0 0
1 3 15 1 0
1 3 15 2 0
1 3 15 3 0
1 3 15 4 0
1 3 16 0 0
1 3 16 1 0
1 3 16 2 0
1 3 16 3 0
1 3 16 4 0
1 3 17 0 0
1 3 17 1 0
1 3 17 2 0
1 3 17 3 0
1 3 17 4 0
1 3 18 0 0
1 3 18 1 0
1 3 18 2 0
1 3 18 3 0
1 3 18 4 0
1 3 19 0 0
1 3 19 1 0
1 3 19 2 0
1 3 19 3 0
1 3 19 4 0
1 3 20 0 0
1 3 20 1 0
1 3 20 2 0
1 3 20 3 0
1 3 20 4 0
1 3 21 0 0
1 3 21 1 0
1 3 21 2 0
1 3 21 3 0
1 3 21 4 0
1 3 22 0 0
1 3 22 1 0
1 3 22 2 0
1 3 22 3 0
1 3 22 4 0
1 3 23 0 0
1 3 23 1 0
1 3 23 2 0
1 3 23 3 0
1 3 23 4 0
1 3 24 0 0
1 3 24 1 0
1 3 24 2 0
1 3 24 3 0
1 3 24 4 0
1 3 25 0 0
1 3 25 1 0
1 3 25 2 0
1 3 25 3 0
1 3 25 4 0
1 3 26 0 0
1 3 26 1 0
1 3 26 2 0
1 3 26 3 0
1 3 26 4 0
1 3 27 0 0
1 3 27 1 0
1 3 27 2 0
1 3 27 3 0
1 3 27 4 0
1 3 28 0 0
1 3 28 1 0
1 3 28 2 0
1 3 28 3 0
1 3 28 4 0
1 3 29 0 0
1 3 29 1 0
1 3 29 2 0
1 3 29 3 0
1 3 29 4 0
1 3 30 0 0
1 3 30 1 0
1 3 30 2 0
1 3 30 3 0
1 3 30 4 0
1 3 31 0 0
1 3 31 1 0
1 3 31 2 0
1 3 31 3 0
1 3 31 4 0
1 3 32 0 0
1 3 32 1 0
1 3 32 2 0
1 3 32 3 0
1 3 32 4 0
1 3 33 0 0
1 3 33 1 0
1 3 33 2 0
1 3 33 3 0
1 3 33 4 0
1 3 34 0 0
1 3 34 1 0
1 3 34 2 0
1 3 34 3 0
1 3 34 4 0
1 3 35 0 0
1 3 35 1 0
1 3 35 2 0
1 3 35 3 0
1 3 35 4 0
1 3 36 0 0
1 3 36 1 0
1 3 36 2 0
1 3 36 3 0
1 3 36 4 0
1 3 37 0 0
1 3 37 1 0
1 3 37 2 0
1 3 37 3 0
1 3 37 4 0
1 3 38 0 0
1 3 38 1 0
1 3 38 2 0
1 3 38 3 0
1 3 38 4 0
1 3 39 0 0
1 3 39 1 0
1 3 39 2 0
